Acsst5Y2010.S0101-Data.1.2,Geography,Geographic Area Name,Total  Estimate  Total Population,Male  Estimate  Total Population,Female  Estimate  Total Population,Total  Estimate  Age Under 5 Years,Male  Estimate  Age Under 5 Years,Female  Estimate  Age Under 5 Years,Total  Estimate  Age 5 To 9 Years,Male  Estimate  Age 5 To 9 Years,Female  Estimate  Age 5 To 9 Years,Total  Estimate  Age 10 To 14 Years,Male  Estimate  Age 10 To 14 Years,Female  Estimate  Age 10 To 14 Years,Total  Estimate  Age 15 To 19 Years,Male  Estimate  Age 15 To 19 Years,Female  Estimate  Age 15 To 19 Years,Total  Estimate  Age 20 To 24 Years,Male  Estimate  Age 20 To 24 Years,Female  Estimate  Age 20 To 24 Years,Total  Estimate  Age 25 To 29 Years,Male  Estimate  Age 25 To 29 Years,Female  Estimate  Age 25 To 29 Years,Total  Estimate  Age 30 To 34 Years,Male  Estimate  Age 30 To 34 Years,Female  Estimate  Age 30 To 34 Years,Total  Estimate  Age 35 To 39 Years,Male  Estimate  Age 35 To 39 Years,Female  Estimate  Age 35 To 39 Years,Total  Estimate  Age 40 To 44 Years,Male  Estimate  Age 40 To 44 Years,Female  Estimate  Age 40 To 44 Years,Total  Estimate  Age 45 To 49 Years,Male  Estimate  Age 45 To 49 Years,Female  Estimate  Age 45 To 49 Years,Total  Estimate  Age 50 To 54 Years,Male  Estimate  Age 50 To 54 Years,Female  Estimate  Age 50 To 54 Years,Total  Estimate  Age 55 To 59 Years,Male  Estimate  Age 55 To 59 Years,Female  Estimate  Age 55 To 59 Years,Total  Estimate  Age 60 To 64 Years,Male  Estimate  Age 60 To 64 Years,Female  Estimate  Age 60 To 64 Years,Total  Estimate  Age 65 To 69 Years,Male  Estimate  Age 65 To 69 Years,Female  Estimate  Age 65 To 69 Years,Total  Estimate  Age 70 To 74 Years,Male  Estimate  Age 70 To 74 Years,Female  Estimate  Age 70 To 74 Years,Total  Estimate  Age 75 To 79 Years,Male  Estimate  Age 75 To 79 Years,Female  Estimate  Age 75 To 79 Years,Total  Estimate  Age 80 To 84 Years,Male  Estimate  Age 80 To 84 Years,Female  Estimate  Age 80 To 84 Years,Total  Estimate  Age 85 Years And Over,Male  Estimate  Age 85 Years And Over,Female  Estimate  Age 85 Years And Over,Total  Estimate  Selected Age Categories 5 To 14 Years,Male  Estimate  Selected Age Categories 5 To 14 Years,Female  Estimate  Selected Age Categories 5 To 14 Years,Total  Estimate  Selected Age Categories 15 To 17 Years,Male  Estimate  Selected Age Categories 15 To 17 Years,Female  Estimate  Selected Age Categories 15 To 17 Years,Total  Estimate  Selected Age Categories 18 To 24 Years,Male  Estimate  Selected Age Categories 18 To 24 Years,Female  Estimate  Selected Age Categories 18 To 24 Years,Total  Estimate  Selected Age Categories 15 To 44 Years,Male  Estimate  Selected Age Categories 15 To 44 Years,Female  Estimate  Selected Age Categories 15 To 44 Years,Total  Estimate  Selected Age Categories 16 Years And Over,Male  Estimate  Selected Age Categories 16 Years And Over,Female  Estimate  Selected Age Categories 16 Years And Over,Total  Estimate  Selected Age Categories 18 Years And Over,Male  Estimate  Selected Age Categories 18 Years And Over,Female  Estimate  Selected Age Categories 18 Years And Over,Total  Estimate  Selected Age Categories 60 Years And Over,Male  Estimate  Selected Age Categories 60 Years And Over,Female  Estimate  Selected Age Categories 60 Years And Over,Total  Estimate  Selected Age Categories 62 Years And Over,Male  Estimate  Selected Age Categories 62 Years And Over,Female  Estimate  Selected Age Categories 62 Years And Over,Total  Estimate  Selected Age Categories 65 Years And Over,Male  Estimate  Selected Age Categories 65 Years And Over,Female  Estimate  Selected Age Categories 65 Years And Over,Total  Estimate  Selected Age Categories 75 Years And Over,Male  Estimate  Selected Age Categories 75 Years And Over,Female  Estimate  Selected Age Categories 75 Years And Over,Total  Estimate  Summary Indicators Median Age (Years),Male  Estimate  Summary Indicators Median Age (Years),Female  Estimate  Summary Indicators Median Age (Years),Total  Estimate  Summary Indicators Sex Ratio (Males Per 100 Females),Male  Estimate  Summary Indicators Sex Ratio (Males Per 100 Females),Female  Estimate  Summary Indicators Sex Ratio (Males Per 100 Females),Total  Estimate  Summary Indicators Age Dependency Ratio,Male  Estimate  Summary Indicators Age Dependency Ratio,Female  Estimate  Summary Indicators Age Dependency Ratio,Total  Estimate  Summary Indicators Age Dependency Ratio Old-Age Dependency Ratio,Male  Estimate  Summary Indicators Age Dependency Ratio Old-Age Dependency Ratio,Female  Estimate  Summary Indicators Age Dependency Ratio Old-Age Dependency Ratio,Total  Estimate  Summary Indicators Age Dependency Ratio Child Dependency Ratio,Male  Estimate  Summary Indicators Age Dependency Ratio Child Dependency Ratio,Female  Estimate  Summary Indicators Age Dependency Ratio Child Dependency Ratio,Total  Estimate  Percent Imputed Sex,Male  Estimate  Percent Imputed Sex,Female  Estimate  Percent Imputed Sex,Total  Estimate  Percent Imputed Age,Male  Estimate  Percent Imputed Age,Female  Estimate  Percent Imputed Age
2015,0400000US17,Illinois,12873761,6316899,6556862,6.2,6.5,6,6.5,6.8,6.3,6.7,6.9,6.4,6.8,7.1,6.5,7,7.2,6.7,6.9,7.1,6.7,6.9,7.1,6.8,6.5,6.6,6.4,6.6,6.7,6.5,6.8,6.9,6.7,7.2,7.2,7.2,6.7,6.6,6.7,5.7,5.6,5.8,4.3,4.1,4.5,3.2,2.9,3.4,2.3,2,2.6,1.8,1.5,2.1,1.9,1.3,2.5,13.2,13.7,12.7,4.1,4.3,3.9,9.7,10.1,9.3,40.8,41.8,39.7,79.2,78.4,80,76.5,75.6,77.4,19.2,17.4,21,16.8,15,18.5,13.5,11.8,15.2,6,4.8,7.3,37.3,36,38.5,96.3,(X),(X),58.7,(X),(X),21.4,(X),(X),37.3,(X),(X),0.1,(X),(X),1.4,(X),(X)
2015,0400000US18,Indiana,6568645,3235263,3333382,6.4,6.7,6.2,6.7,7,6.4,6.9,7.1,6.6,7,7.3,6.7,7.3,7.5,7,6.4,6.5,6.3,6.4,6.5,6.3,6.1,6.2,6,6.5,6.6,6.4,6.6,6.7,6.6,7.2,7.2,7.1,6.8,6.7,6.9,5.8,5.8,5.9,4.5,4.3,4.7,3.3,3.1,3.5,2.4,2.1,2.7,1.8,1.5,2.2,1.9,1.2,2.5,13.6,14.1,13.1,4.1,4.3,4,10.1,10.5,9.8,39.7,40.6,38.7,78.6,77.7,79.4,75.8,74.9,76.8,19.7,18,21.4,17.3,15.5,18.9,13.9,12.2,15.5,6.1,4.8,7.3,37.3,36.1,38.6,97.1,(X),(X),61.4,(X),(X),22.4,(X),(X),39,(X),(X),0.1,(X),(X),1.1,(X),(X)
2015,0400000US19,Iowa,3093526,1534595,1558931,6.4,6.5,6.2,6.6,6.8,6.5,6.6,6.8,6.3,6.9,7.2,6.7,7.3,7.5,7,6.2,6.4,6,6.4,6.6,6.2,5.8,5.9,5.7,5.9,6.1,5.8,6.3,6.4,6.2,7.1,7.1,7.1,6.8,6.8,6.8,6.2,6.2,6.1,4.6,4.4,4.7,3.5,3.3,3.7,2.8,2.5,3.1,2.2,1.8,2.6,2.5,1.6,3.3,13.2,13.6,12.8,3.9,4.1,3.8,10.3,10.6,9.9,38.6,39.7,37.5,79.1,78.5,79.8,76.5,75.8,77.2,21.7,19.8,23.5,19,17.1,20.8,15.5,13.6,17.4,7.5,5.9,9,38.1,36.8,39.4,98.4,(X),(X),63.9,(X),(X),25.4,(X),(X),38.5,(X),(X),0.1,(X),(X),1.1,(X),(X)
2015,0400000US20,Kansas,2892987,1439862,1453125,6.9,7.1,6.7,7,7.2,6.8,7,7.1,6.8,7,7.2,6.8,7.5,7.9,7,6.7,6.9,6.5,6.6,6.8,6.5,6,6.1,5.9,6,6.1,5.8,6.2,6.2,6.1,6.9,6.8,7,6.6,6.7,6.6,5.7,5.5,5.9,4.3,4.2,4.4,3.2,2.9,3.4,2.4,2.2,2.7,2,1.6,2.3,2.1,1.4,2.8,14,14.3,13.6,4.1,4.2,4,10.4,10.9,9.8,39.7,41,38.5,77.7,77.1,78.3,75,74.3,75.7,19.7,17.8,21.5,17.3,15.5,19,14,12.3,15.6,6.5,5.2,7.8,36,34.8,37.5,99.1,(X),(X),63.9,(X),(X),22.9,(X),(X),41,(X),(X),0.1,(X),(X),1.1,(X),(X)
2015,0400000US21,Kentucky,4397353,2164208,2233145,6.3,6.6,6,6.4,6.6,6.2,6.5,6.8,6.2,6.5,6.8,6.3,7,7.3,6.7,6.4,6.5,6.3,6.5,6.6,6.4,6.2,6.3,6.1,6.6,6.7,6.5,6.8,6.9,6.8,7.3,7.2,7.3,6.9,6.8,7,6.1,6,6.2,4.9,4.7,5,3.5,3.3,3.7,2.5,2.2,2.8,1.8,1.5,2.1,1.7,1.1,2.3,12.9,13.5,12.4,3.9,4.1,3.7,9.7,10.1,9.3,39.3,40.3,38.3,79.4,78.6,80.2,76.9,75.9,77.8,20.5,18.7,22.2,18,16.3,19.6,14.4,12.8,16,6,4.8,7.2,38.5,37.1,39.8,96.9,(X),(X),60,(X),(X),23,(X),(X),37,(X),(X),0.1,(X),(X),1,(X),(X)
2015,0400000US22,Louisiana,4625253,2261156,2364097,6.7,7,6.4,6.8,7,6.5,6.6,7,6.3,6.6,6.9,6.3,7.5,7.7,7.3,7.3,7.4,7.1,7,7.1,6.8,6.1,6.3,6,6.1,6.1,6.1,6.4,6.5,6.4,7,7,7.1,6.7,6.6,6.8,5.8,5.7,5.9,4.4,4.4,4.5,3.2,2.9,3.5,2.3,2.1,2.6,1.7,1.3,2.1,1.5,1.1,2,13.4,14,12.9,4,4.1,3.8,10.2,10.5,9.8,40.6,41.6,39.8,78.6,77.6,79.5,75.9,74.9,76.9,19.1,17.4,20.6,16.6,15,18.2,13.2,11.7,14.7,5.6,4.5,6.6,36.1,34.9,37.5,95.6,(X),(X),59.6,(X),(X),21.1,(X),(X),38.5,(X),(X),0.1,(X),(X),1.4,(X),(X)
2015,0400000US23,Maine,1329100,650081,679019,4.9,5.1,4.7,5.5,5.9,5.2,5.7,5.9,5.4,6.3,6.6,6,6,6.2,5.7,5.7,5.8,5.6,5.6,5.7,5.6,5.5,5.5,5.6,6.4,6.5,6.3,7.2,7.3,7.2,8.2,8.2,8.2,8.1,8,8.2,7.3,7.3,7.3,5.8,5.8,5.8,4.2,4,4.3,3,2.8,3.2,2.3,2,2.7,2.3,1.6,2.9,11.2,11.7,10.6,3.7,3.8,3.5,8.6,9,8.2,35.5,36.3,34.8,82.6,81.7,83.5,80.3,79.3,81.2,24.9,23.4,26.3,21.9,20.5,23.3,17.6,16.2,19,7.7,6.4,8.9,43.8,42.7,44.9,95.7,(X),(X),59.6,(X),(X),28.1,(X),(X),31.5,(X),(X),0.1,(X),(X),1,(X),(X)
2015,0400000US24,Maryland,5930538,2872643,3057895,6.2,6.5,5.9,6.3,6.6,6,6.4,6.7,6.1,6.6,7,6.3,6.8,7.2,6.4,7,7.2,6.8,6.8,6.9,6.7,6.3,6.2,6.3,6.8,6.8,6.7,7.3,7.3,7.4,7.6,7.6,7.7,6.8,6.7,6.9,5.9,5.6,6.1,4.5,4.3,4.7,3.1,2.9,3.3,2.2,2,2.5,1.7,1.4,2,1.8,1.2,2.3,12.6,13.3,12,3.9,4.1,3.7,9.5,10,9,40.2,41.2,39.2,79.9,78.8,80.9,77.3,76.1,78.4,19.2,17.4,20.9,16.7,15,18.3,13.3,11.8,14.8,5.7,4.6,6.7,38.2,36.6,39.7,93.9,(X),(X),56.4,(X),(X),20.9,(X),(X),35.6,(X),(X),0.1,(X),(X),1.5,(X),(X)
2015,0400000US25,Massachusetts,6705586,3249650,3455936,5.5,5.8,5.2,5.6,5.9,5.4,6,6.3,5.7,6.9,7.2,6.6,7.3,7.5,7.1,7.1,7.2,6.9,6.5,6.7,6.4,6,6,5.9,6.7,6.7,6.7,7.3,7.3,7.2,7.6,7.6,7.5,7,7,7,6,5.8,6.1,4.6,4.5,4.8,3.3,3.1,3.6,2.4,2.2,2.7,2,1.6,2.4,2.3,1.5,3,11.6,12.2,11,3.8,4,3.6,10.4,10.7,10.1,40.4,41.3,39.5,81.7,80.8,82.6,79.2,78,80.2,20.7,18.7,22.5,18.2,16.3,19.9,14.7,12.9,16.4,6.7,5.3,8.1,39.3,37.8,40.7,94,(X),(X),55.1,(X),(X),22.8,(X),(X),32.3,(X),(X),0.1,(X),(X),1.4,(X),(X)
2015,0400000US26,Michigan,9900571,4861973,5038598,5.8,6.1,5.6,6.2,6.5,5.9,6.6,6.8,6.3,7,7.3,6.7,7.2,7.5,7,6.1,6.2,5.9,5.9,6,5.9,5.8,5.8,5.7,6.4,6.5,6.3,6.9,6.9,6.8,7.5,7.5,7.5,7.3,7.2,7.3,6.3,6.2,6.4,4.9,4.7,5,3.5,3.3,3.7,2.6,2.3,2.8,2,1.6,2.3,2,1.4,2.7,12.8,13.3,12.3,4.1,4.3,4,10.1,10.5,9.7,38.4,39.3,37.6,80.1,79.2,80.9,77.3,76.3,78.2,21.3,19.6,22.9,18.6,17,20.2,15,13.4,16.5,6.6,5.3,7.8,39.5,38.1,40.7,96.5,(X),(X),60.5,(X),(X),24,(X),(X),36.5,(X),(X),0.1,(X),(X),1.2,(X),(X)
2015,0400000US27,Minnesota,5419171,2692166,2727005,6.4,6.6,6.3,6.7,6.9,6.5,6.6,6.7,6.4,6.7,6.8,6.5,6.6,6.8,6.5,6.8,6.9,6.6,6.9,7,6.8,6,6.2,5.9,6.3,6.4,6.3,6.8,6.8,6.7,7.5,7.5,7.5,7,7,7,5.9,5.9,5.9,4.4,4.3,4.5,3.2,3,3.4,2.4,2.1,2.7,1.9,1.6,2.1,2.1,1.4,2.7,13.2,13.6,12.9,4,4.1,3.8,9.3,9.6,9.1,39.3,40.2,38.5,79,78.4,79.6,76.4,75.7,77,19.8,18.3,21.3,17.3,15.8,18.7,13.9,12.4,15.4,6.3,5.1,7.5,37.7,36.7,38.8,98.7,(X),(X),60.1,(X),(X),22.3,(X),(X),37.8,(X),(X),0.1,(X),(X),1,(X),(X)
2015,0400000US28,Mississippi,2988081,1451723,1536358,6.6,6.9,6.3,6.9,7.2,6.6,7,7.4,6.6,7.1,7.4,6.9,7.4,7.8,7,6.5,6.6,6.4,6.5,6.6,6.4,6.1,6.1,6,6.4,6.4,6.4,6.4,6.3,6.4,6.9,6.8,6.9,6.6,6.5,6.6,5.8,5.6,5.9,4.6,4.4,4.7,3.4,3.2,3.6,2.5,2.2,2.8,1.8,1.4,2.1,1.6,1,2.1,13.9,14.6,13.2,4.1,4.3,3.9,10.4,10.9,10,40,41,39.1,78.1,77,79.2,75.4,74.1,76.5,19.6,17.8,21.4,17.3,15.5,18.9,13.9,12.3,15.4,5.8,4.6,7,36.5,35,38.1,94.5,(X),(X),62.7,(X),(X),22.6,(X),(X),40.1,(X),(X),0.1,(X),(X),1.1,(X),(X)
2015,0400000US29,Missouri,6045448,2964003,3081445,6.2,6.5,6,6.5,6.8,6.3,6.5,6.8,6.2,6.7,7,6.4,7.1,7.3,6.9,6.6,6.8,6.5,6.6,6.7,6.4,6,6.1,5.8,6.1,6.2,6.1,6.5,6.6,6.5,7.3,7.4,7.3,6.9,6.7,7,6,5.9,6.1,4.7,4.6,4.9,3.6,3.4,3.8,2.6,2.4,2.9,2,1.6,2.3,2,1.4,2.6,13,13.5,12.4,4,4.1,3.8,9.8,10.1,9.5,39.1,40,38.1,79.5,78.6,80.3,76.8,75.8,77.8,21,19.3,22.6,18.5,16.7,20.1,15,13.3,16.5,6.6,5.4,7.8,38.2,36.8,39.6,96.2,(X),(X),61.6,(X),(X),24.2,(X),(X),37.4,(X),(X),0.1,(X),(X),1.2,(X),(X)
2015,0400000US30,Montana,1014699,510163,504536,6,6.1,5.9,6.4,6.6,6.3,6,6.1,5.9,6.4,6.7,6.1,7.2,7.4,6.9,6.2,6.3,6.1,6.3,6.5,6.1,5.8,5.8,5.7,5.5,5.6,5.4,6.1,6,6.1,7.3,7.2,7.4,7.7,7.5,7.9,6.9,6.9,6.9,5.4,5.4,5.4,3.9,3.9,4,2.8,2.6,2.9,2.1,1.8,2.3,2.1,1.4,2.7,12.4,12.7,12.2,3.7,3.8,3.6,9.8,10.3,9.4,37.4,38.4,36.4,80.3,79.9,80.7,77.9,77.4,78.4,23.1,22.1,24.1,20.2,19.3,21.1,16.2,15.2,17.2,6.9,5.9,7.9,39.7,38.6,40.9,101.1,(X),(X),62.1,(X),(X),26.2,(X),(X),35.8,(X),(X),0.1,(X),(X),1.7,(X),(X)
2015,0400000US31,Nebraska,1869365,929606,939759,7,7.2,6.7,7.1,7.3,6.9,6.8,7,6.7,6.9,7.1,6.7,7.2,7.5,7,6.7,6.9,6.5,6.8,6.9,6.6,6.1,6.2,6,5.9,6,5.8,6.1,6.2,6.1,6.9,6.9,6.9,6.6,6.6,6.6,5.8,5.7,5.9,4.3,4.2,4.4,3.2,2.9,3.4,2.5,2.2,2.9,2,1.7,2.3,2.2,1.5,2.9,13.9,14.3,13.5,4,4.2,3.8,10.1,10.4,9.8,39.6,40.6,38.6,77.8,77.1,78.5,75.1,74.3,75.9,19.9,18.1,21.6,17.4,15.6,19.1,14.1,12.5,15.7,6.7,5.3,8,36.2,35.1,37.5,98.9,(X),(X),63.9,(X),(X),23.2,(X),(X),40.8,(X),(X),0.1,(X),(X),1.4,(X),(X)
2015,0400000US32,Nevada,2798636,1407735,1390901,6.4,6.5,6.3,6.8,6.9,6.6,6.5,6.6,6.5,6.3,6.4,6.1,6.7,6.8,6.6,7.2,7.3,7.1,7.1,7.2,7,6.7,6.8,6.6,6.9,7,6.9,6.8,7,6.7,6.8,6.9,6.7,6.3,6.1,6.5,5.8,5.7,5.9,4.9,4.7,5.1,3.6,3.5,3.6,2.3,2.3,2.4,1.5,1.4,1.7,1.3,1,1.6,13.3,13.5,13.1,4,4,3.9,9,9.2,8.9,41,41.6,40.3,79,78.7,79.3,76.4,76,76.8,19.4,18.4,20.4,17,16.1,17.9,13.6,12.8,14.4,5.2,4.6,5.7,37.2,36.5,37.8,101.2,(X),(X),59.3,(X),(X),21.7,(X),(X),37.7,(X),(X),0.1,(X),(X),1.5,(X),(X)
2015,0400000US33,New Hampshire,1324201,653484,670717,5,5.1,4.8,5.6,5.8,5.4,6,6.2,5.9,6.9,7.1,6.8,6.6,6.9,6.3,5.8,6,5.6,5.6,5.7,5.5,5.7,5.7,5.7,6.6,6.7,6.5,7.7,7.7,7.7,8.5,8.5,8.5,7.8,7.8,7.9,6.8,6.9,6.8,5.1,5.1,5.2,3.6,3.5,3.8,2.6,2.3,2.8,1.9,1.6,2.2,2,1.4,2.5,11.7,12,11.3,3.9,4.1,3.8,9.6,9.9,9.3,37.3,38.1,36.5,82.1,81.5,82.7,79.5,78.8,80.1,22.1,20.8,23.3,19.2,17.9,20.4,15.3,13.9,16.6,6.5,5.3,7.6,42.2,41.2,43.1,97.4,(X),(X),55.7,(X),(X),23.7,(X),(X),31.9,(X),(X),0.1,(X),(X),1.2,(X),(X)
2015,0400000US34,New Jersey,8904413,4343027,4561386,6,6.3,5.7,6.2,6.5,6,6.5,6.8,6.2,6.6,6.9,6.2,6.3,6.7,6,6.4,6.6,6.1,6.5,6.6,6.3,6.3,6.4,6.3,7,7.1,6.9,7.5,7.5,7.5,7.7,7.7,7.7,6.9,6.9,6.9,5.8,5.6,6,4.5,4.3,4.7,3.3,3,3.6,2.4,2.1,2.7,2,1.6,2.3,2.2,1.4,2.9,12.7,13.3,12.1,4,4.2,3.8,8.9,9.4,8.4,39,40.3,37.8,80,79,80.8,77.3,76.2,78.3,20.2,18.1,22.2,17.7,15.7,19.6,14.4,12.5,16.2,6.5,5.1,7.9,39.4,37.8,40.9,95.2,(X),(X),59,(X),(X),22.8,(X),(X),36.1,(X),(X),0.1,(X),(X),1.7,(X),(X)
2015,0400000US35,New Mexico,2084117,1032414,1051703,6.6,6.8,6.4,6.8,7.1,6.6,6.8,7,6.6,6.9,7.1,6.6,7.2,7.6,6.9,6.8,7.1,6.5,6.5,6.7,6.3,5.9,6,5.8,5.9,5.9,5.8,6.1,6,6.2,6.9,6.8,7,6.7,6.4,7,6.1,6,6.3,4.9,4.7,5.2,3.6,3.5,3.8,2.6,2.4,2.8,1.8,1.6,2,1.7,1.3,2.1,13.6,14,13.3,4,4.1,3.9,10.1,10.5,9.6,39.2,40.4,37.9,78.4,77.7,79,75.7,75,76.4,20.8,19.5,22.2,18.3,16.9,19.6,14.7,13.5,15.9,6.1,5.3,7,37,35.5,38.5,98.2,(X),(X),64,(X),(X),24.1,(X),(X),39.9,(X),(X),0.1,(X),(X),1.8,(X),(X)
2015,0400000US36,New York,19673174,9541801,10131373,6,6.3,5.7,5.8,6.2,5.5,6,6.3,5.7,6.6,6.9,6.3,7.3,7.6,7,7.4,7.6,7.2,6.9,7,6.8,6.3,6.4,6.2,6.6,6.6,6.5,7,7.1,7,7.3,7.3,7.3,6.7,6.6,6.8,5.8,5.7,6,4.5,4.3,4.8,3.3,3,3.5,2.5,2.2,2.7,1.9,1.6,2.3,2.1,1.4,2.8,11.8,12.5,11.2,3.8,4,3.6,10.1,10.5,9.7,41,42.1,40,80.9,79.9,81.9,78.4,77.2,79.5,20.2,18.1,22.1,17.7,15.7,19.5,14.3,12.5,16.1,6.5,5.2,7.8,38.1,36.5,39.7,94.2,(X),(X),56.1,(X),(X),22.4,(X),(X),33.7,(X),(X),0.1,(X),(X),1.9,(X),(X)
2015,0400000US37,North Carolina,9845333,4795408,5049925,6.2,6.5,5.9,6.5,6.8,6.3,6.6,7,6.3,6.7,7,6.3,7.2,7.6,6.7,6.5,6.6,6.4,6.5,6.5,6.4,6.4,6.4,6.3,7,7,6.9,6.9,6.9,6.9,7,7,7,6.6,6.4,6.8,5.8,5.6,6,4.9,4.7,5,3.5,3.2,3.7,2.5,2.2,2.8,1.8,1.4,2.1,1.6,1,2.2,13.1,13.8,12.5,3.9,4.1,3.7,9.9,10.6,9.3,40.1,41.2,39.1,79.4,78.3,80.3,76.8,75.7,77.9,20.1,18.3,21.8,17.6,15.9,19.3,14.2,12.6,15.8,5.9,4.7,7,38,36.5,39.5,95,(X),(X),59.8,(X),(X),22.7,(X),(X),37.1,(X),(X),0.1,(X),(X),1.1,(X),(X)
2015,0400000US38,North Dakota,721640,367963,353677,6.8,6.7,6.9,6.5,6.6,6.4,5.8,5.7,5.9,6.7,6.8,6.5,9.4,10,8.8,7.5,8,7,6.8,7.2,6.4,5.7,5.9,5.4,5.4,5.5,5.4,5.8,5.8,5.8,6.9,6.8,7,6.7,6.6,6.8,5.8,5.9,5.7,4.1,4,4.1,3.1,2.9,3.4,2.5,2.2,2.7,2.1,1.7,2.6,2.4,1.6,3.3,12.3,12.3,12.3,3.5,3.6,3.5,12.6,13.3,11.8,41.5,43.5,39.4,79.8,79.9,79.6,77.4,77.4,77.4,20,18.3,21.8,17.5,15.8,19.4,14.2,12.4,16.1,7,5.5,8.6,35.4,34.2,36.9,104,(X),(X),58.3,(X),(X),22.5,(X),(X),35.7,(X),(X),0.1,(X),(X),1.4,(X),(X)
2015,0400000US39,Ohio,11575977,5662893,5913084,6,6.3,5.7,6.4,6.7,6.1,6.5,6.8,6.3,6.8,7.1,6.5,6.8,7,6.6,6.4,6.5,6.2,6.2,6.3,6.1,5.9,6,5.8,6.4,6.5,6.3,6.7,6.8,6.7,7.4,7.4,7.4,7.2,7.1,7.2,6.3,6.2,6.3,4.8,4.6,5,3.5,3.2,3.8,2.6,2.3,2.9,2,1.6,2.4,2.1,1.4,2.8,12.9,13.5,12.3,4,4.2,3.9,9.5,9.9,9.2,38.4,39.4,37.5,79.7,78.8,80.6,77.1,76,78.1,21.4,19.5,23.2,18.7,16.9,20.5,15.1,13.3,16.8,6.8,5.4,8.1,39.2,37.7,40.7,95.8,(X),(X),61.4,(X),(X),24.4,(X),(X),37,(X),(X),0.1,(X),(X),1.2,(X),(X)
2015,0400000US40,Oklahoma,3849733,1906944,1942789,6.9,7.1,6.7,6.9,7.2,6.7,6.8,7,6.6,6.7,7,6.4,7.4,7.7,7.1,6.9,7.1,6.7,6.8,7,6.6,6.1,6.2,6,6.1,6.2,6,6.1,6.1,6.1,6.8,6.8,6.8,6.5,6.4,6.6,5.7,5.5,5.8,4.6,4.3,4.8,3.5,3.3,3.7,2.6,2.3,2.8,1.9,1.5,2.2,1.7,1.2,2.2,13.7,14.2,13.3,4,4.2,3.8,10.1,10.5,9.7,40,41.2,38.9,78,77.3,78.7,75.4,74.5,76.2,19.9,18.2,21.5,17.5,15.9,19.1,14.2,12.7,15.7,6.1,5,7.2,36.2,35,37.6,98.2,(X),(X),63.5,(X),(X),23.2,(X),(X),40.3,(X),(X),0.1,(X),(X),1.3,(X),(X)
2015,0400000US41,Oregon,3939233,1948453,1990780,5.9,6.1,5.7,6.1,6.3,6,6.1,6.3,5.8,6.2,6.5,6,6.7,6.9,6.6,6.7,6.9,6.6,6.9,7,6.8,6.5,6.6,6.3,6.6,6.7,6.4,6.4,6.4,6.3,6.8,6.8,6.9,6.9,6.7,7.1,6.7,6.6,6.8,5.2,5.1,5.3,3.7,3.5,3.9,2.5,2.4,2.7,1.8,1.6,2.1,2.1,1.5,2.7,12.2,12.6,11.8,3.7,3.9,3.6,9.2,9.5,9,39.7,40.7,38.7,80.7,80,81.3,78.2,77.4,78.9,22.1,20.7,23.5,19.4,17.9,20.8,15.4,14.1,16.7,6.5,5.4,7.5,39.1,38,40.1,97.9,(X),(X),59.4,(X),(X),24.5,(X),(X),34.8,(X),(X),0.1,(X),(X),1.4,(X),(X)
2015,0400000US42,Pennsylvania,12779559,6245344,6534215,5.6,5.9,5.4,5.9,6.1,5.6,6,6.3,5.7,6.7,7,6.4,6.8,7.1,6.6,6.5,6.7,6.3,6.1,6.3,5.9,5.7,5.9,5.6,6.3,6.4,6.2,6.9,7,6.8,7.5,7.6,7.5,7.3,7.3,7.3,6.3,6.3,6.4,5,4.8,5.1,3.7,3.4,3.9,2.8,2.5,3.2,2.3,1.9,2.7,2.5,1.7,3.3,11.9,12.4,11.3,3.8,4,3.6,9.7,10.1,9.4,38.2,39.3,37,81.3,80.4,82.1,78.7,77.7,79.7,22.7,20.5,24.7,20,17.9,22,16.3,14.3,18.3,7.7,6,9.2,40.5,38.9,42,95.6,(X),(X),60.3,(X),(X),26.1,(X),(X),34.1,(X),(X),0.1,(X),(X),1.1,(X),(X)
2015,0400000US44,Rhode Island,1053661,510388,543273,5.2,5.5,5,5.5,6,5.1,5.9,6.1,5.7,7.2,7.4,7,7.8,8.1,7.5,6.7,7,6.4,6.2,6.4,6,5.8,5.9,5.7,6.3,6.4,6.3,7.1,7.1,7.1,7.6,7.5,7.7,7.2,7.2,7.2,6.1,5.9,6.2,4.7,4.6,4.8,3.4,3.2,3.6,2.4,2.2,2.7,2.2,1.8,2.5,2.7,1.7,3.7,11.4,12.1,10.8,3.7,3.9,3.5,11.2,11.5,10.9,40,41.2,38.8,82.1,81.1,83,79.6,78.4,80.7,21.5,19.4,23.5,18.9,17,20.8,15.4,13.4,17.3,7.3,5.6,8.9,39.7,37.9,41.3,93.9,(X),(X),55.8,(X),(X),24,(X),(X),31.8,(X),(X),0.1,(X),(X),1.6,(X),(X)
